Audio ID,Original text,Duration,Speaker ID,Transcription,WER
locutor2_audio_364,Oyó su propio gemido.,1.5789569160997732,locutor2, o yo su propio gemido.,0.5
locutor2_audio_15215_15216,"Ella se hizo a un lado, tratando de no darle tiempo de ver la expresión de dolor que asomaba a sus ojos.",6.2693877551020405,locutor2," Ella se hizo a un lado, tratando de no darle tiempo de ver la expresión de dolor que asomaba a sus ojos.",0.0
locutor2_audio_29797,—Es una pena que no hayamos podido volver a vernos en circunstancias más favorables.,5.421859410430839,locutor2, Es una pena que no hayamos podido volver a vernos en circunstancias más favorables.,0.0
locutor2_audio_7682,Fue debidamente informada sobre la familia.,2.9257142857142857,locutor2, fue debidamente informada sobre la familia.,0.0
locutor2_audio_18383,Le pedirían a Miranda que fuera la madrina.,2.2407256235827666,locutor2, Le pedirían a Miranda que fuera la madrina.,0.0
locutor2_audio_69343_69344_69345_69346,"En los meses subsiguientes la nueva línea fue elaborada hasta que llegó a ser, en todos los aspectos, diametralmente opuesta a la antigua.",8.185034013605442,locutor2," En los meses subsiguientes, la nueva línea fue elaborada hasta que llegó a ser, en todos los aspectos, diametralmente opuesta al antigua.",0.08695652173913043
locutor2_audio_22842_22843,En muchas ocasiones hubo tiranteces entre el nuevo cirujano y la señora Porter.,5.015510204081632,locutor2, En muchas ocasiones hubo tiranteses entre el nuevo cirujano y la señora Porter.,0.07692307692307693
locutor2_audio_23189,"Piensa en Yósef, señorita Sáim, y en el afilado bisturí.",3.831292517006802,locutor2, piensa en Joseph señorita sign y en el afilado bisturí.,0.2
locutor2_audio_52122_52123,"El mercado de esclavos contaba con espacios públicos que eran conocidos en el Madrid del siglo dieciocho, pues estaban situados en los aledaños de la plaza Mayor.",10.80888888888889,locutor2," El mercado de esclavos contaba con espacios públicos que eran conocidos en el Madrid del siglo XVIII, pues estaban situados en los aled años de la Plaza Mayor.",0.1111111111111111
locutor2_audio_60436,Ya no jugarían ningún partido de tenis.,2.449705215419501,locutor2, ya no jugarían ningún partido de tennis.,0.14285714285714285
locutor2_audio_25186,"Incluso el director de The Lancet se negaba a usar la palabra «gérmenes», y en su lugar hablaba de «elementos sépticos presentes en el ambiente».",9.624671201814058,locutor2, incluso el director de Delanset se negaba a usar la palabra gérmenes. Y en su lugar hablaba de elementos scepticos presentes en el ambiente.,0.12
locutor2_audio_65434,Él y Yoána se acercaron para protegerse de las gotas de agua.,3.703582766439909,locutor2, El iyoana se acercaron para protegerse de las gotas de agua.,0.25
locutor2_audio_65074,"Usó sus pies como un escalador de palmeras caribeñas y, en menos de un minuto, rodeó la viga de madera con sus manos.",7.256235827664399,locutor2," Usó sus pies como un escalador de palmeras caribeñas, y en menos de un minuto rodeó la viga de madera con sus manos.",0.0
locutor2_audio_3231_3232,Pero me apetecía beber champán y no podía hacerlo si conducía.,3.517823129251701,locutor2, Pero me apetecía beber champán y no podía hacerlo si conducía.,0.0
locutor2_audio_29515_29516,"—Estamos en ello desde hace dos jornadas, pero aún no hemos acabado.",4.446621315192743,locutor2," Estamos en ello desde hace dos jornadas, pero aún no hemos acabado.",0.0
locutor2_audio_66149,—¿Y cuándo fue la última vez que visteis a Antonio?,2.6238548752834467,locutor2, y cuando fue la última vez que viste y santoño.,0.4
locutor2_audio_6861,—¿Has perdido la cabeza?,1.4280272108843537,locutor2, Has perdido la cabeza?,0.0
locutor2_audio_45010,—¿Cómo que quién la colocó?,1.509297052154195,locutor2, como que quien la colocó.,0.4
locutor2_audio_59302_59303,"—¿Podría estar en otro lugar, tal vez en el supermercado?",3.506213151927437,locutor2, ¿Podría estar en otro lugar? Tal vez en el supermercado.,0.0
locutor2_audio_8772_8773,"—Ráyan detuvo a un par de turistas, que accedieron alegremente a fotografiar a la joven pareja de norteamericanos.",6.849886621315193,locutor2, rayan de tubo a un par de turistas que accedieron alegremente a fotografiar a la joven pareja de norteamericanos.,0.16666666666666666
locutor1_audio_42328_42329,"Los apostadores obtienen el premio principal de vez en cuando, pero en intervalos que no pueden predecirse.",5.688888888888889,locutor1," Los apostadores obtienen el premio principal de vez en cuando, pero en intervalos que no pueden predecirse.",0.0
locutor1_audio_5807,Ya se ve cómo en aquella época el espíritu era divisible.,3.192743764172336,locutor1, Ya se ve como en aquella época el espíritu era divisible.,0.09090909090909091
locutor1_audio_9352,Quince a dieciseis.,1.5325170068027212,locutor1, Game Fair VFEC's.,1.3333333333333333
locutor1_audio_47636_47637,"Gritando y hundiéndola a pisotones, hasta dejarla convertida en una lámina de plástico de un par de centímetros de grosor.",6.989206349206349,locutor1," gritando y hundiendo la apisotones, hasta dejarla convertida en una lámina de plástico de un par de centímetros de grosor.",0.15
locutor1_audio_33442,Repasando en su mente qué es lo que tienen.,2.275555555555556,locutor1, repasando en su mente que es lo que tienen.,0.1111111111111111
locutor1_audio_36237_36238_36239_36240,"A estas alturas, ya te habrás dado cuenta de que un hábito atómico se refiere a un cambio pequeño, a una ganancia marginal, a un uno por ciento de mejora.",8.6378231292517,locutor1," A estas alturas ya te habrás dado cuenta de que un habituatómico se refiere a un cambio pequeño, a una grancia marginal, a un 1% de mejora.",0.2
locutor1_audio_25082,"Sin duda alguna, Dersú había errado el tiro.",3.1230839002267574,locutor1, sin duda alguna de su había errado el tiro.,0.25
locutor1_audio_36945,El anhelo consiste en desear obtener la recompensa.,2.90249433106576,locutor1, El anilo consiste en desear obtener la recompensa.,0.125
locutor1_audio_37754_37755,Una manera de encontrar el detonante apropiado para tu cadena de hábitos consiste en realizar una lluvia de ideas para hacer una lista de tus hábitos actuales.,8.126984126984127,locutor1, Una manera de encontrar el detonante apropiado para tu cadena de hábitos consiste el realizar una lluvia de ideas para hacer una lista de tus hábitos actuales.,0.037037037037037035
locutor1_audio_17238_17239_17240_17241,"Con la lección aprendida, comprendí que aquello era un sendero para tramperos y, temiendo que no me iba a llevar hacia ningún lugar alejado, la abandoné y me adentré por las tierras vírgenes, por donde vagué largo tiempo por los barrancos pero sin encontrar nada.",14.257052154195012,locutor1," Con la lección aprendida comprendí que aquello era un sendero para tramperos y temiendo que no me iba a llevar hacia ningún lugar alejado, la abandoné y me adentré por las tierras virgenes, por donde vague el largo tiempo por los barrancos pero sin encontrar nada.",0.06666666666666667
locutor1_audio_36838,Yo no quiero encasillarme en un estilo de vida que no disfruto.,3.13469387755102,locutor1, Yo no quiero encasillarme en un estilo de vida que no disfruto.,0.0
locutor1_audio_40372,Hay muchas formas de crear mecanismos de compromiso.,2.8560544217687074,locutor1, Hay muchas formas de crear mecanismos de compromiso.,0.0
locutor1_audio_33030,Es un sitio extraño para colocar una alfombra.,2.879274376417233,locutor1, Es un sitio extraño para colocar una alfombra.,0.0
locutor1_audio_29241,"Había acudido a su lado enseguida, como era su deber.",3.1811337868480725,locutor1, había acudido a su lado en seguida como era su deber.,0.2
locutor1_audio_45678_45679,"Ni una sola nube en el cielo, ni un atisbo de calor.",3.1579138321995464,locutor1," Ni una sola nube en el cielo, ni un atisbo de calor.",0.0
locutor1_audio_48613,Pero menos interesante.,1.3467573696145123,locutor1, pero menos interesante.,0.0
locutor1_audio_49706,Haciéndoles cruzarse en el aire.,1.9736961451247168,locutor1, Haciéndoles cruzarse en el aire.,0.0
locutor1_audio_1375,"Recuerden: dos judíos, tres opiniones.",2.8908843537414968,locutor1," Recuerden dos judíos, tres opiniones.",0.0
locutor1_audio_33080,"Antonia parpadea, extrañada.",1.9040362811791385,locutor1," Antonia Parpadea, ekstrańada.",0.3333333333333333
locutor1_audio_24044,Permanecimos una jornada en aquel sitio.,2.2987755102040817,locutor1, Permanecimos una jornada en aquel sitio.,0.0
locutor4_audio_32765, Oteaba con prismáticos su campo de tiro.,2.345215419501134,locutor4, O teaba con prismático su campo de tiro.,0.42857142857142855
locutor4_audio_59494, Y tengo que lidiar con muchas cosas además de Vicky.,3.1695238095238096,locutor4, Y tengo que lidiar con muchas cosas además de Vicky.,0.0
locutor4_audio_38051," —Mucho gusto, me alegro de conocerla.",1.98530612244898,locutor4," Mucho gusto, me alegro de conocerla.",0.0
locutor4_audio_67254, Mati abrió los ojos apenas una rendija y solo pudo asentir con la cabeza.,5.3986394557823125,locutor4, Mati abrió los ojos apenas una rendija y sólo pudo asentir con la cabeza.,0.07142857142857142
locutor4_audio_39210, —Pero lleva semanas sin venir por aquí.,1.880816326530612,locutor4, Pero lleva semana sin venir por aquí.,0.14285714285714285
locutor4_audio_55121, —Te he perdonado —le aseguré acariciándole la barbilla—.,4.040272108843538,locutor4," Te he perdonado, le asegure a cariciándole la barbilla.",0.375
locutor4_audio_56236, —Tú nunca confiaste en mí.,1.7414965986394555,locutor4, Tú nunca confiaste en mí.,0.0
locutor4_audio_67617," Carmen vio el iris de sus ojos y una pequeña cicatriz en el labio inferior, fue uno de esos momentos que parecen contener toda la vida…",8.103764172335602,locutor4, Carmen vio el iris de sus ojos y una pequeña cicatriz en el labio inferior. Fue uno de esos momentos que parecen contener toda la vida.,0.0
locutor4_audio_70617, En el chaflán de Gran Vía con Muntaner la furgoneta se detuvo.,4.237641723356009,locutor4," En el chaflan de Gran Bía con Montaner, la furgoneta se detuvo.",0.25
locutor4_audio_65875_65876, Margaret Mead cuenta que en Borneo…,3.030204081632653,locutor4, Margarit Mith cuenta que es en Borneo.,0.5
locutor4_audio_28676, Juzgar la apariencia sin conocer el alma es la injusticia de la ignorancia.,4.098321995464852,locutor4, Judgar la apariencia sin conocer el alma es la injusticia de la ignorancia.,0.07692307692307693
locutor4_audio_32740_32741, —Estamos felices con este paisaje tan espectacular —dijeron casi al unísono las invitadas.,5.537959183673469,locutor4," Estamos felices con este paisaje tan espectacular, dijeron casi al unísono las invitadas.",0.0
locutor4_audio_72447, Silvia a todo decía que sí y daba las gracias.,3.633922902494331,locutor4," Silvia, a todo decía que sí, y daba las gracias.",0.0
locutor4_audio_57986, Deja la copa sobre la mesa y yo observo el agua ondear.,3.5874829931972787,locutor4, Deja la copa sobre la mesa y yo observo el agua donde har.,0.16666666666666666
locutor4_audio_79807," Por educación, por formalidad o cautela, no dejaba traslucir lo que deseaba.",5.189659863945578,locutor4," por educación, por formalidad o cautela, no dejaba traslucir lo que deseaba.",0.0
locutor4_audio_27800_27801," Si quieres, podemos llevarte —dijo la madre de los niños, dispuesta a socorrer a aquella chiquilla.",5.108390022675737,locutor4," Si quieres, podemos llevarte. Dijo la madre de los niños dispuesta a su carrera aquella chiquilla.",0.125
locutor4_audio_64111, Como todo él es.,1.6486167800453515,locutor4, como todo él es.,0.0
locutor4_audio_78962, De vez en cuando me saca de algún apuro tecnológico.,3.332063492063492,locutor4, De vez en cuando me saca de alguna puro tecnológico.,0.2
locutor4_audio_76139_76140," Habrá otra en la que nadie asocie esa silla y ese balcón a mi presencia, y esta casa a la vida que nosotros tenemos en ella.",8.289523809523809,locutor4," Habrá otra en la que nadie asocia esa silla y ese balcón a mi presencia, y esta casa a la vida que nosotros tenemos en ella.",0.038461538461538464
locutor4_audio_30485, Victoria volvió a utilizar la mímica para preguntar por la iglesia.,4.214421768707483,locutor4, Victoria volvió a utilizar la mímica para preguntar por la iglesia.,0.0
locutor5_audio_119207,¿Por qué no lo terminó?,1.18421768707483,locutor5, ¿Por qué no lo terminó?,0.0
locutor5_audio_99936_99937,"Por eso, que la hubiera dejado escapar era aún más imperdonable.",3.633922902494331,locutor5, Por eso que la hubiera dejado escapar era un más imperdonable.,0.09090909090909091
locutor5_audio_12839,cuartos de Champions.,1.4628571428571429,locutor5, cuartos de Champions.,0.0
locutor5_audio_53984,—El pensamiento fue un gruñido furioso—.,2.1710657596371883,locutor5, El pensamiento fue un grunido furioso.,0.16666666666666666
locutor5_audio_43643_43644_43645,"Envuelto en el Poder como estaba, la cólera se extendía como una telaraña alrededor del vacío, un fino encaje, pero ardiente—.",7.767074829931973,locutor5," Envuelto en el poder como estaba, la cólera se extendía como una telaraña alrededor del vacío. Un fino encaje, pero ardiente.",0.0
locutor5_audio_34451,No faltaban a la misa del primer día personas de los pueblos de alrededor.,4.017052154195011,locutor5, no faltaban a la misa del primer día personas de los pueblos de alrededor.,0.0
locutor5_audio_51836,Al alzar una mano hacia la frente se preguntó por qué le temblaba.,3.5874829931972787,locutor5," Al alzar una mano hacia la frente, se preguntó por qué le temblaba.",0.0
locutor5_audio_72303,¿O has aprendido por ti mismo?,1.474467120181406,locutor5, o has aprendido por tu mismo.,0.16666666666666666
locutor5_audio_90154,Todo esto me aburre.,1.0448979591836736,locutor5, Todo esto me aburre.,0.0
locutor5_audio_88992_88993_88994,"—Lamb sonrió, consiguiendo que su sonrisa resultase más siniestra que sus gruñidos a causa de sus ojos húmedos y amoratados—.",7.720634920634921,locutor5," Lamson Río, consiguiendo que sus sonrisa resultase más siniestra que sus gruñidos, a causa de sus ojos húmedos y amoratados.",0.15
locutor5_audio_15553,Vaya si le sirvió.,1.3815873015873017,locutor5, Vaya si les sirvió.,0.25
locutor5_audio_57868,¿Cuánto tiempo más te propones seguir con esta farsa?,2.681904761904762,locutor5, ¿Cuánto tiempo más te propone seguir con esta farsa?,0.1111111111111111
locutor5_audio_121895,"¿No te habrás hecho de alguna secta, testigo de Jehová o qué sé yo?",3.239183673469388,locutor5," No te habrás hecho de alguna secta, testigo de Geovao o qué sé yo.",0.07142857142857142
locutor5_audio_120467,—Pues es una mansión muy interesante.,1.811156462585034,locutor5, Pues es una mansión muy interesante.,0.0
locutor5_audio_18826,¿Te gusta saber que prácticamente puedes dominar físicamente a cualquier hombre con el que te cruces?,5.131609977324263,locutor5, ¿Te gusta saber que prácticamente puedes dominar físicamente a cualquier hombre con el que te cruces?,0.0
locutor5_audio_28927,"Si no la compramos, los terroristas la compran y emplean los pingües beneficios del tráfico de drogas para atacarnos.",6.1184580498866215,locutor5," Si no la compramos, los terroristas la compran y emplean los pincües beneficios del tráfico de drogas para atacarnos.",0.05263157894736842
locutor5_audio_97785_97786_97787_97788,"Como si su estructura y organización empresarial siguiesen asumiendo los costes de sus investigaciones, los encargos de cemento a Inglaterra «para probar», las construcciones que se derribaban para volverlas a construir de otra manera, todo lo que su entusiasmo y curiosidad generaban.",15.754739229024944,locutor5," como si su estructura y organización empresarial siguen asumiendo los costes de sus investigaciones, los encargos de cemento a Inglaterra para probar, las construcciones que se derribaban para volverlas a construir de otra manera, todo lo que su entusias muy curiosidad generaban.",0.07142857142857142
locutor5_audio_82537,Pues que lo hecho no se puede deshacer.,2.345215419501134,locutor5, Pues que lo he hecho no se puede deshacer.,0.125
locutor5_audio_3794,"Sobre su relación de amistad con Ferreras, pues yo qué sé.",2.7399546485260773,locutor5," sobre su relación de amistad con ferreras, pues yo que sé.",0.09090909090909091
locutor5_audio_90518_90519,"Si su frente perlada de sudor acusaba el esfuerzo que hacía, su rostro, en cambio, apenas enarcaba una ceja, como si resolviese una suma que se le resistía.",9.1718820861678,locutor5," Si su frente parlada de sudor acusaba el esfuerzo que hacía, su rostro en cambio apenas se narcaba una ceja, como si resolviese una suma que se la resistía.",0.14285714285714285
locutor3_audio_14429,"Dos etapas de altísima montaña, dos pruebas de fuego para ver quién es quién en esta carrera.",7.74,locutor3," Dos etapas de altísima montaña, dos pruebas de fuego para ver quién es quién en esta carrera.",0.0
