Audio ID,Original text,Duration,Speaker ID,Chapter ID,Utterance ID,Transcription,WER
103_1241_000026_000000,"""Well now, I dunno,"" said Matthew.",2.799958333333333,103,1241,000026_000000," Well, now, I don't know. Sick Matthew.",0.6666666666666666
103_1241_000021_000000,"With this Matthew's companion stopped talking, partly because she was out of breath and partly because they had reached the buggy.",6.16,103,1241,000021_000000, with this Matthew's companion stop talking. Partly because she was out of breath and partly because they had reached the buggy.,0.045454545454545456
103_1241_000034_000005,"I can't feel exactly perfectly happy because--well, what color would you call this?""",5.94,103,1241,000034_000005," I can't feel exactly perfectly happy because... Well, what color would you call this?",0.14285714285714285
103_1241_000027_000007,Would you rather I didn't talk?,1.3899583333333334,103,1241,000027_000007, Would you rather I didn't talk?,0.0
103_1241_000045_000001,"They had simply rounded a curve in the road and found themselves in the ""Avenue.""",4.160041666666666,103,1241,000045_000001, They had simply rounded a curve in the road and found themselves in the avenue.,0.0
103_1241_000040_000000,"""Well, whatever it was it must have been something nice because she was divinely beautiful.",3.44,103,1241,000040_000000," Well, whatever it was, it must have been something nice, because she was divinely beautiful.",0.0
103_1241_000027_000000,"""Well, that is one of the things to find out sometime.",2.19,103,1241,000027_000000," Well, that is one of the things to find out sometime.",0.0
103_1241_000040_000001,"Have you ever imagined what it must feel like to be divinely beautiful?""",2.81,103,1241,000040_000001, Have you ever imagined what it must feel like to be divinely beautiful?,0.0
103_1241_000007_000001,"""But there was a passenger dropped off for you--a little girl.",2.82,103,1241,000007_000001, But there was a passenger dropped off for you. A little girl.,0.18181818181818182
103_1241_000027_000002,It just makes me feel glad to be alive--it's such an interesting world.,3.7200416666666665,103,1241,000027_000002, It just makes me feel glad to be alive. It's such an interesting world.,0.14285714285714285
103_1241_000034_000002,"I never expected I would, though.",1.62,103,1241,000034_000002, I never expected I would though.,0.0
103_1241_000025_000013,When we got on the train I felt as if everybody must be looking at me and pitying me.,4.08,103,1241,000025_000013," When we got on the train, I felt as if everybody must be looking at me and pitying me.",0.0
103_1241_000052_000006,"Did you ever have an ache like that, Mr. Cuthbert?""",2.41,103,1241,000052_000006," Did you ever have an egg like that, Mr. Cuthbert?",0.1
103_1241_000012_000002,"Maybe they were out of boys of the brand you wanted.""",2.14,103,1241,000012_000002, Maybe they were out of boys at the brand you wanted.,0.09090909090909091
103_1241_000056_000000,"""That's Barry's pond,"" said Matthew.",2.150041666666666,103,1241,000056_000000," That's Barry's Pond, tip Matthew.",0.14285714285714285
103_1241_000066_000004,So I shut my eyes.,1.0899583333333334,103,1241,000066_000004, So I shut my eyes.,0.0
103_1241_000004_000002,"In fact, he had looked at twenty very much as he looked at sixty, lacking a little of the grayness.",5.5,103,1241,000004_000002," In fact, he had looked at twenty, very much as he looked at sixty, lacking a little of the grainess.",0.05
103_1241_000039_000000,"""Well now, I'm afraid I can't,"" said Matthew, who was getting a little dizzy.",4.15,103,1241,000039_000000," Well now, I'm afraid I can't. Set Matthew, who was getting a little dizzy.",0.0625
103_1241_000042_000001,"Which would you rather be if you had the choice--divinely beautiful or dazzlingly clever or angelically good?""",5.46,103,1241,000042_000001, Which would you rather be if you had the choice? Divinely beautiful or dazzlingly clever or angelically good?,0.11764705882352941
103_1241_000038_000014,"Can you tell me?""",0.84,103,1241,000038_000014, Can you tell me?,0.0
1034_121119_000019_000001,"Your name?""",0.73,1034,121119,000019_000001, your name.,0.0
1034_121119_000021_000001,"And now, what do you want?""",2.0100416666666665,1034,121119,000021_000001, and now what do you want?,0.0
1034_121119_000053_000000,"""Well, I own it.""",1.0,1034,121119,000053_000000," Well, I own it.",0.0
1034_121119_000012_000000,"""Do you intend opening the door?"" said the baroness.",2.3800416666666666,1034,121119,000012_000000," Do you intend opening the door?"" said the Baroness.",0.0
1034_121119_000010_000006,"She would invoke the past, recall old recollections; she would supplicate him by the remembrance of guilty, yet happy days.",7.49,1034,121119,000010_000006," She would invoke the past, recall old recollections, she would supplicate him by the remembrance of guilty yet happy days.",0.0
1034_121119_000052_000000,"""I was not thinking of that,"" replied Madame Danglars quickly.",3.209958333333333,1034,121119,000052_000000, I was not thinking of that replied Madame Denglar quickly.,0.1
1034_121119_000002_000001,"We will leave the banker contemplating the enormous magnitude of his debt before the phantom of bankruptcy, and follow the baroness, who after being momentarily crushed under the weight of the blow which had struck her, had gone to seek her usual adviser, Lucien Debray.",15.11,1034,121119,000002_000001," We will leave the banker contemplating the enormous magnitude of his debt before the phantom of bankruptcy, and follow the Baroness, who after being momentarily crushed under the weight of the blow which had struck her, had gone to seek her usual adviser, Lucien Debray.",0.0
1034_121119_000001_000001,The Law.,0.68,1034,121119,000001_000001, the law.,0.0
1034_121119_000052_000002,"You could not help thinking of it, and saying to yourself, 'you, who pursue crime so vindictively, answer now, why are there unpunished crimes in your dwelling?'"" The baroness became pale.",11.149958333333334,1034,121119,000052_000002," You could not help thinking of it and saying to yourself, you who pursue crime so vindictively answer now. Why are there unpunished crimes in your dwelling? The Baroness became pale.",0.0
1034_121119_000048_000001,"""At least keep him there till my daughter be married.""",2.0700416666666666,1034,121119,000048_000001, at least keep him there till my daughter be married.,0.0
1034_121119_000018_000000,"""Oh, this is too much!""",1.74,1034,121119,000018_000000," Oh, this is too much.",0.0
1034_121119_000064_000003,Has the law ears to be melted by your sweet voice?,2.6599166666666667,1034,121119,000064_000003, Has the law years to be melded by your sweet voice?,0.18181818181818182
1034_121119_000065_000003,"I have always found them; and more,--I repeat it with joy, with triumph,--I have always found some proof of human perversity or error.",8.590083333333334,1034,121119,000065_000003," I have always found them, and more. I repeat it with joy, with triumph. I have always found some proof of human perversity or error.",0.17391304347826086
1034_121119_000064_000006,"You will tell me that I am a living being, and not a code--a man, and not a volume.",4.63,1034,121119,000064_000006, You will tell me that I am a living being in not a code. A man in not a volume.,0.21052631578947367
1034_121119_000064_000011,"No, madame, they struck me, always struck me!",3.12,1034,121119,000064_000011," No madame, they struck me. Always struck me.",0.0
1034_121119_000064_000009,Have they spared me?,1.4299583333333334,1034,121119,000064_000009, Have they spared me?,0.0
1034_121119_000061_000000,"""No one; his parents are unknown.""",2.63,1034,121119,000061_000000, No one. His parents are unknown.,0.0
1034_121119_000071_000000,"""His dishonor reflects upon us.""",1.8500833333333333,1034,121119,000071_000000, His dishonor reflects upon us.,0.0
1034_121119_000014_000000,"""Who am I? You know me well enough.""",2.59,1034,121119,000014_000000, Who am I? You know me well enough.,0.0
1034_121119_000070_000000,"""The weakness of a murderer!""",1.3200833333333333,1034,121119,000070_000000, the weakness of a murderer.,0.0
1040_133433_000098_000000,"""Yes, that was it,"" says Jane, with a big breath.",3.5400416666666668,1040,133433,000098_000000," Yes, that was it, says Jane, with a big breath.",0.0
1040_133433_000141_000001,I am ever so much more than twenty.,1.8900416666666664,1040,133433,000141_000001, I am ever so much more than 20.,0.125
1040_133433_000067_000000,"""Perhaps he is ill,"" Michael said.",1.81,1040,133433,000067_000000," Perhaps he is ill, Michael said.",0.0
1040_133433_000019_000000,"""Oh dear, are you going away?""",1.63,1040,133433,000019_000000," Oh dear, you're going away.",0.3333333333333333
1040_133433_000055_000000,"Of course all the boys went to school; and most of them got into Class III, but Slightly was put first into Class IV and then into Class V. Class I is the top class.",9.13,1040,133433,000055_000000," Of course, all the boys went to school, and most of them got into class three, but slightly was put first into class four, and then into class five. Class one is the top class.",0.11428571428571428
1040_133433_000069_000000,"Michael came close to her and whispered, with a shiver, ""Perhaps there is no such person, Wendy!"" and then Wendy would have cried if Michael had not been crying.",10.080041666666666,1040,133433,000069_000000, Michael came close to her and whispered with a shiver. Perhaps there is no such person Wendy? And then Wendy would have cried if Michael had not been crying.,0.0
1040_133433_000074_000000,"Years rolled on again, and Wendy had a daughter.",2.89,1040,133433,000074_000000, years rolled on again and Wendy had a daughter.,0.0
1040_133433_000020_000000,"""Yes.""",0.62,1040,133433,000020_000000, Yes.,0.0
1040_133433_000168_000001,"Jane is now a common grown-up, with a daughter called Margaret; and every spring cleaning time, except when he forgets, Peter comes for Margaret and takes her to the Neverland, where she tells him stories about himself, to which he listens eagerly.",14.230083333333331,1040,133433,000168_000001," Jane is now a common grown-up with a daughter called Margaret. In every spring cleaning time, except when he forgets, Peter comes for Margaret and takes her to the Neverland, where she tells him stories about himself to which he listens eagerly.",0.023809523809523808
1040_133433_000129_000000,"""Of course; that is why I have come."" He added a little sternly, ""Have you forgotten that this is spring cleaning time?""",6.580041666666666,1040,133433,000129_000000," Of course, that is why I have come. He added a little sternly. Have you forgotten that this is spring cleaning time?",0.0
1040_133433_000127_000000,Now surely he would understand; but not a bit of it.,2.16,1040,133433,000127_000000," Now surely he would understand, but not a bit of it.",0.0
1040_133433_000042_000000,"""I shall have Tink.""",1.0,1040,133433,000042_000000, I shall have Tink.,0.0
1040_133433_000090_000000,"""What is gay and innocent and heartless?",2.009916666666667,1040,133433,000090_000000, What is gay and innocent and heartless?,0.0
1040_133433_000015_000000,"""Then follow the leader,"" he cried gaily.",2.04,1040,133433,000015_000000," Then follow the leader, he cried galley.",0.14285714285714285
1040_133433_000077_000001,That was the time for stories.,1.799958333333333,1040,133433,000077_000001, That was the time for stories.,0.0
1040_133433_000046_000000,"""O Peter, you know it matters.""",1.66,1040,133433,000046_000000," O Peter, you know what matters.",0.16666666666666666
1040_133433_000072_000004,You see that judge in a wig coming out at the iron door?,2.43,1040,133433,000072_000004, You see that judge in a wig coming out at the iron door?,0.0
1040_133433_000105_000001,She was as grown up as that.,1.45,1040,133433,000105_000001, She was as grown up as that.,0.0
1040_133433_000157_000000,"When Wendy returned diffidently she found Peter sitting on the bed-post crowing gloriously, while Jane in her nighty was flying round the room in solemn ecstasy.",9.080083333333333,1040,133433,000157_000000," When Wendy returned diffidently, she found Peter sitting on the bedpost crowing gloriously. While Jane and her nighty was flying round the room in solemn ecstasy.",0.038461538461538464
1040_133433_000085_000000,"""The dear old days when I could fly!""",1.9099583333333328,1040,133433,000085_000000, the dear old days when I could fly.,0.0
1069_133709_000043_000030,"Isabel candidly believed that his lordship would, in the usual phrase, get over his disappointment.",6.54,1069,133709,000043_000030," Isabelle candidly believed that his lordship would, in the usual phrase, get over his disappointment.",0.06666666666666667
1069_133709_000043_000029,"This was not, as it may seem, merely a theory tinged with sarcasm.",4.880041666666667,1069,133709,000043_000029," This was not, as it may seem, merely a theory tingeed with sarcasm.",0.07692307692307693
1069_133709_000043_000031,"He had been deeply affected--this she believed, and she was still capable of deriving pleasure from the belief; but it was absurd that a man both so intelligent and so honourably dealt with should cultivate a scar out of proportion to any wound.",16.4,1069,133709,000043_000031," He had been deeply affected, this she believed, and she was still capable of deriving pleasure from the belief. But it was absurd that a man both so intelligent and so honorably dealt with should cultivate a scar out of proportion to any wound.",0.06976744186046512
1069_133709_000043_000033,It would have proved that he believed she was firm--which was what she wished to seem to him.,5.689958333333333,1069,133709,000043_000033," It would have proved that he believed she was firm, which was what she wished to seem to him.",0.1111111111111111
1069_133699_000055_000000,"""My dear child, you certainly encouraged him.""",3.32,1069,133699,000055_000000," My dear child, you certainly encouraged him.",0.0
1069_133699_000067_000002,I protested against it. You in fact appeared to accept my protest and to admit that I had the right on my side.,8.31,1069,133699,000067_000002," I protested against it. You in fact, appeared to accept my protest and to admit that I had the right on my side.",0.0
1069_133699_000029_000002,"""What I mean is that Mr. Goodwood came out in the steamer with me.""",4.190041666666667,1069,133699,000029_000002, What I mean is that Mr. Goodwood came out in the steamer with me.,0.0
1069_133699_000061_000000,"""It may not matter to him, but it matters to one's self.""",3.56,1069,133699,000061_000000," It may not matter to him, but it matters to oneself.",0.23076923076923078
1069_133699_000066_000006,"She entertained herself for some moments with talking to the little terrier, as to whom the proposal of an ownership divided with her cousin had been applied as impartially as possible--as impartially as Bunchie's own somewhat fickle and inconstant sympathies would allow.",17.839958333333332,1069,133699,000066_000006," She entertained herself for some moments, with talking to the little terrier. As to whom the proposal of an ownership divided with her cousin had been applied as impertually as possible. As impertually as Bunchy's own somewhat fickle and inconstant sympathies would allow,",0.11627906976744186
1069_133699_000067_000013,"This at present is the dearest wish of yours faithfully,",4.300041666666667,1069,133699,000067_000013, This at present is the dearest wish of yours faithfully.,0.0
1069_133699_000010_000000,"""Do you call the domestics in an American household 'slaves'?"" Miss Stackpole enquired.",6.63,1069,133699,000010_000000, Do you call the domestics and an American household slaves? Miss Stackpole inquired.,0.23076923076923078
1069_133699_000045_000001,"Isabel offered no answer to this assertion, which her companion made with an air of great confidence.",5.82,1069,133699,000045_000001," Isabel offered no answer to this assertion, which her companion made with an air of great confidence.",0.0
1069_133699_000019_000000,"""Faithless?",0.89,1069,133699,000019_000000, faithless.,0.0
1069_133699_000033_000000,"""No, he told me nothing; that's how I knew it,"" said Henrietta cleverly. ""He said very little about you, but I spoke of you a good deal.""",10.25,1069,133699,000033_000000," No, he told me nothing. That's how I knew it,"" said Henrietta cleverly. He said very little about you, but I spoke of you a good deal.",0.0
1069_133699_000065_000000,"""I believe you hope it about as much as I believe him capable of it.""",3.800083333333333,1069,133699,000065_000000, I believe you hope it about as much as I believe him capable of it.,0.0
1069_133699_000009_000001,"They share their work.""",1.42,1069,133699,000009_000001, They share their work.,0.0
1069_133699_000057_000001,"""But I don't believe that; he's not a man to do nothing.",3.650041666666666,1069,133699,000057_000001, But I don't believe that. He's not a man to do nothing.,0.0
1069_133699_000036_000000,"""What did you say about me?"" Isabel asked.",2.779958333333333,1069,133699,000036_000000, What did you say about me as about asked?,0.25
1069_133699_000004_000005,"If they were not the best in the world they were the worst, but there was nothing middling about an American hotel.",6.36,1069,133699,000004_000005," If they were not the best in the world, they were the worst. But there was nothing middling about an American hotel.",0.0
1069_133699_000018_000002,"It was perhaps because her mind was oppressed with this image that she suffered some days to elapse before she took occasion to say to Isabel: ""My dear friend, I wonder if you're growing faithless.""",12.21,1069,133699,000018_000002," It was perhaps because her mind was oppressed with this image that she suffered some days to elapse before she took occasion to say to Isabel. My dear friend, I wonder if you're growing faithless.",0.0
1235_135884_000006_000001,"Sacrifice that cow; your farmer has not a finer, nor one fitter for the festival."" Out of deference to my wife, I came again to the cow, and combating my compassion, which suspended the sacrifice, was going to give her the fatal blow, when the victim redoubling her tears, and bellowing, disarmed me a second time.",22.73,1235,135884,000006_000001," Sacrifice that cow. Your farmer has not a finer nor one fitter for the festival. Out of deference to my wife, I came again to the cow, and combating my compassion, which suspended the sacrifice, was going to give her the fatal blow. When the victim redoubling her tears and bellowing disarmed me a second time.",0.0
1235_135884_000010_000003,"Yesterday, as I carried back the calf which you would not sacrifice, I perceived she laughed when she saw him, and in a moment after fell a weeping.",9.54,1235,135884,000010_000003," Yesterday, as I carried back the calf which you would not sacrifice, I perceived she laughed when she saw him and in a moment after fellow weeping.",0.07142857142857142
1235_135884_000009_000000,"As soon as my wife heard me give this order, she exclaimed, ""What are you about, husband?",4.95,1235,135884,000009_000000," As soon as my wife heard me give this order, she exclaimed, What are you about husband?",0.0
1235_135884_000002_000002,"She was only twelve years of age when I married her, so that I may justly say, she ought to regard me equally as her father, her kinsman, and her husband.",10.83,1235,135884,000002_000002," She was only 12 years of age when I married her, so that I may justly say, she ought to regard me equally as her father, her kinsman, and her husband.",0.03225806451612903
1235_135884_000005_000004,"I bound her, but as I was going to sacrifice her, she bellowed piteously, and I could perceive tears streaming from her eyes.",8.67,1235,135884,000005_000004," I bound her, but as I was going to sacrifice her, she bellowed pitiously, and I could perceive tears streaming from her eyes.",0.043478260869565216
1235_135884_000011_000002,"As soon as I arrived, I went forthwith to the stall where my son was kept; he could not return my embraces, but received them in such a manner, as fully satisfied me he was my son.",12.12,1235,135884,000011_000002," As soon as I arrived, I went forth with to the stall where my son was kept. He could not return my embraces, but received them in such a manner as fully satisfied me. He was my son.""",0.05405405405405406
1235_135884_000006_000000,"My wife, who was present, was enraged at my tenderness, and resisting an order which disappointed her malice, she cried out, ""What are you doing, husband?",9.68,1235,135884,000006_000000," My wife, who was present, was enraged at my tenderness, and resisting an order which disappointed her malice she cried out. What are you doing, husband?",0.0
1235_135884_000011_000000,I leave you to judge how much I was surprised.,2.5,1235,135884,000011_000000, I leave you to judge how much I was surprised.,0.0
1235_135884_000008_000000,"I was more surprised and affected with this action, than with the tears of the cow.",5.39,1235,135884,000008_000000, I was more surprised and affected with this action than with the tears of the cow.,0.0
1235_135884_000012_000001,"As to what relates to my wife, I also agree; a person who has been capable of committing such a criminal action, justly deserves to be punished.",9.599958333333332,1235,135884,000012_000001," As to what relates to my wife, I also agree. A person who has been capable of committing such a criminal action justly deserves to be punished.",0.0
1235_135884_000004_000004,"Her enmity did not stop at this abominable action, but she likewise changed the slave into a cow, and gave her also to my farmer.",8.95,1235,135884,000004_000004," Her enmity did not stop at this abominable action, but she likewise changed the slave into a cow and gave her also to my farmer.",0.0
1235_135884_000004_000003,"She applied herself to magic, and when she had learnt enough of that diabolical art to execute her horrible design, the wretch carried my son to a desolate place, where, by her enchantments, she changed him into a calf, and gave him to my farmer to fatten, pretending she had bought him.",20.29,1235,135884,000004_000003," She applied herself to magic. And when she had learned enough of that diabolical art to execute her horrible design, the wretch carried my son to a desolate place, where, by her enchantments, she changed him into a calf, and gave him to my farmer to fatten, pretending she had bought him.",0.019230769230769232
1235_135884_000003_000003,"My wife being jealous, cherished a hatred for both mother and child, but concealed her aversion so well, that I knew nothing of it till it was too late.",10.11,1235,135884,000003_000003," My wife, being jealous, cherished a hatred for both mother and child, but concealed her aversion so well that I knew nothing of it till it was too late.",0.0
1235_135884_000009_000003,"I let the knife fall, and told my wife positively that I would have another calf to sacrifice, and not that.",9.73,1235,135884,000009_000003, I let the knife fall and told my wife positively that I would have another calf to sacrifice and not that.,0.0
1235_135884_000014_000001,"I doubt not but in acknowledgment you will make your deliverer your wife, as I have promised."" He joyfully consented; but before they married, she changed my wife into a hind; and this is she whom you see here.",15.65,1235,135884,000014_000001," I doubt not, but in acknowledgment you will make your deliverer your wife as high of promised. He joyfully consented, but before they married, she changed my wife into a hind, and this is she whom you see here.",0.05128205128205128
1235_135884_000006_000002,"I then put the mallet into the farmer's hands, and desired him to take it and sacrifice her himself, for her tears and bellowing pierced my heart.",9.56,1235,135884,000006_000002, I then put the mallet into the farmer's hands and desired him to take it and sacrifice her himself for her tears and bellowing pierced my heart.,0.0
1235_135884_000003_000000,"We lived together twenty years, without any children.",3.03,1235,135884,000003_000000, We live together 20 years without any children.,0.25
1235_135884_000010_000005,"rather,' replied she, the calf you bring back is our landlord's son; I laughed for joy to see him still alive, and wept at the remembrance of the sacrifice that was made the other day of his mother, who was changed into a cow.",14.74,1235,135884,000010_000005," Rather,"" replied she, the calf, you bring back, is our landlord's son. I laughed for joy to see him still alive, and wept at the remembrance of the sacrifice that was made the other day of his mother, who was changed into a cow.",0.0
1235_135884_000003_000001,Her barrenness did not effect any change in my love; I still treated her with much kindness and affection.,6.65,1235,135884,000003_000001, Her Baroness did not affect any change in my love. I still treated her with much kindness and affection.,0.10526315789473684
1235_135884_000004_000001,"Before I went, I recommended to my wife, of whom I had no mistrust, the slave and her son, and prayed her to take care of them during my absence, which was to be for a whole year.",13.82,1235,135884,000004_000001," Before I went, I recommended to my wife of whom I had no mistrust, the slave and her son, and prayed her to take care of them during my absence, which was to be for a whole year.",0.0
1088_134318_000045_000000,"""He's a funk!"" snapped the other, ""a beastly funk!""",3.58,1088,134318,000045_000000," He is a funk snatched the other, a beastly funk.",0.1
1088_134318_000032_000001,Ten minutes later he heard the door opened and the booming voice of the stranger came down to him.,4.55,1088,134318,000032_000001," Ten minutes later, he heard the door opened and the booming voice of the stranger came down to him.",0.0
1088_134318_000002_000005,"The beat of hoofs on the rocky roadway, the crash of the door falling in when the Turkish Gendarmes had battered a way to his rescue.",6.62,1088,134318,000002_000005, the beat of hooves on the rocky roadway. The crash of the door falling in when the Turkish John Arms had battered away to his rescue.,0.19230769230769232
1088_134318_000003_000004,He would get Fisher out of the way that night and make sure.,2.74,1088,134318,000003_000004, He would get Fisher out of the way that night and make sure.,0.0
1088_134318_000002_000003,"He remembered the day well because it was Candlemas day, and this was the anniversary.",4.61,1088,134318,000002_000003," He remembered the day well because it was candle mistake, and this was the anniversary.",0.13333333333333333
1088_134318_000008_000001,Tell him to come up.,1.02,1088,134318,000008_000001, Tell them to come up.,0.2
1088_134318_000033_000000,"""No more Patagonia!"" he roared, ""no more Tierra del Fuego!"" he paused.",4.91,1088,134318,000033_000000," No more Patagonia, he roared. No more tear Del Fuego. He paused.",0.08333333333333333
1088_134318_000015_000000,"""Perhaps"" Kara hesitated, ""perhaps you had better wait until eleven o'clock.",4.77,1088,134318,000015_000000, Perhaps Kara hesitated. Perhaps you had better wait until 11 o'clock.,0.09090909090909091
1088_134318_000005_000000,"""Will you see Mr. Gathercole now!""",1.76,1088,134318,000005_000000, Will you see Mr. Gatherkol now?,0.16666666666666666
1088_134318_000001_000000,CHAPTER XII,1.06,1088,134318,000001_000000, Chapter 12.,0.5
1088_134318_000040_000000,"""Yes, sir,"" said Fisher, ""but I think you will always find that Mr. Kara is always most generous about money.""",6.03,1088,134318,000040_000000," Yes, sir, said Fisher. But I think you will always find that Mr. Care is always most generous about money.",0.05
1088_134318_000035_000000,"""I suppose your cheque will be honoured all right?"" asked the visitor sardonically, and then burst into a little chuckle of laughter as he carefully closed the door.",8.38,1088,134318,000035_000000," I suppose your check will be honored all right, asked the visitors ardonically, and then burst into a little chuckle of laughter as he carefully closed the door.",0.14285714285714285
1088_134318_000025_000000,"""Is it grey!"" challenged the visitor, with a roar.",2.69,1088,134318,000025_000000, Is it grey? Challenge the visitor with a roar.,0.1111111111111111
1088_134318_000008_000002,"Ask him if he minds seeing me in my room.""",2.11,1088,134318,000008_000002, Ask him a few minds seeing me in my room.,0.2
1088_134318_000019_000002,Grown grey in his service!,1.71,1088,134318,000019_000002, grown gray in his service.,0.2
1088_134318_000030_000000,"""Oh, you couldn't,"" sneered the visitor; ""then lead on!""",3.26,1088,134318,000030_000000," Oh, you couldn't sneer the visitor. Then lead on.",0.1
1088_134318_000043_000000,"""What's that?"" asked the visitor a little startled.",2.45,1088,134318,000043_000000, What's that? Ask the visitor a little startled.,0.1111111111111111
1088_134318_000031_000000,Fisher showed the way up the stairs.,1.84,1088,134318,000031_000000, Fisher showed the way up the stairs.,0.0
1088_134318_000027_000000,"""Is it real grey?"" insisted the visitor.",2.39,1088,134318,000027_000000, Is it real grey and sister the visitor?,0.2857142857142857
1088_134318_000011_000000,"""Send him up,"" he said, and then as Fisher was going out of the room he called him back.",4.4,1088,134318,000011_000000," Send him up, he said. And then his Fisher was going out of the room. He called him back.",0.05263157894736842
